total_processed,input_rate,image_quality,file_size(kB),current_model,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
17176,11.391121292236862,100,477.829,yolov5l,0.735082885798286,17,21.405341,83.2,0.48200887,0.48079800605773926,4092.126900434494,7188.365935087204
17177,12.69688098398614,100,321.516,yolov5l,0.8657602667808533,5,18.594801,91.2,0.39456087900000003,0.39315152168273926,4092.480226993561,7188.811007261276
17178,12.217659417188399,100,143.799,yolov5l,0.5599656403064728,3,22.829898,90.3,0.494442575,0.4926297664642334,4092.9453432559967,7189.343599319458
17179,12.210929393702765,100,218.826,yolov5l,0.5383718184062413,7,18.938733,88.9,0.439617316,0.43793725967407227,4093.326758146286,7189.815584182739
17180,11.56707526429916,100,140.907,yolov5l,0.5906538009643555,10,22.049687,87.2,0.513437227,0.5122416019439697,4093.790715932846,7190.349747419357
17181,12.112893623078199,100,249.44,yolov5l,0.5831461979283227,27,21.955693,84.3,0.498679023,0.4973413944244385,4094.226403236389,7190.881039619446
17182,11.979538341006375,100,183.051,yolov5l,0.6144018570582072,24,20.522226,87.7,0.440560093,0.43915748596191406,4094.6140325069427,7191.347534418106
17183,11.304840347738145,100,140.463,yolov5l,0.7393393635749816,10,23.306825,92.6,0.495960125,0.4940519332885742,4095.0623824596405,7191.877021551132
17184,11.65089201393714,100,184.201,yolov5l,0.45389918486277264,3,24.018188,90.3,0.472758631,0.47084856033325195,4095.4889669418335,7192.3951461315155
17185,11.351011782226385,100,187.986,yolov5l,0.6049225591123104,8,22.23505,87.2,0.511129908,0.5095994472503662,4095.951358318329,7192.938778162003
17186,10.727738604768199,100,209.618,yolov5l,0.8100620210170746,2,19.88624,85.8,0.451392323,0.44974327087402344,4096.340455055237,7193.424067497253
17187,10.812410107368082,100,324.448,yolov5l,0.6953693404793739,8,20.877938,84.9,0.4719915,0.4708120822906494,4096.759998321533,7193.936089515686
17188,10.492178997117207,100,241.536,yolov5l,0.638310076461898,18,18.884657,88.0,0.390426116,0.38907814025878906,4097.097252368927,7194.36548948288
17189,11.037403528229168,100,114.828,yolov5l,0.5249392862121264,12,16.640094,88.9,0.323217951,0.3180203437805176,4097.368003606796,7194.717775344849
17190,11.088237771528235,100,177.795,yolov5l,0.898716539144516,2,20.988228,88.4,0.4577312,0.4558677673339844,4097.769268035889,7195.212605476379
17191,10.750573154925577,100,235.004,yolov5l,0.6133641806932596,26,23.793213,87.2,0.510694915,0.5093953609466553,4098.21554350853,7195.754468917847
17192,11.600449702066586,100,154.2,yolov5l,0.7084335088729858,5,22.752261,87.0,0.476233041,0.47503042221069336,4098.620787620544,7196.253360271454
17193,11.870794022483977,100,327.531,yolov5l,0.5943052981581006,7,16.928301,87.0,0.350438969,0.34861183166503906,4098.925936222076,7196.6568484306335
17194,11.411556054170118,100,224.212,yolov5l,0.5340379551053047,16,23.365602,87.3,0.494130974,0.49283766746520996,4099.368193626404,7197.187916755676
17195,11.002971953947656,100,237.966,yolov5l,0.8655295372009277,1,22.350895,90.7,0.474513085,0.47261667251586914,4099.815055370331,7197.7148995399475
17196,11.418504615661805,100,142.214,yolov5l,0.8317412063479424,8,16.644306,88.6,0.38160084899999996,0.37967586517333984,4100.147413492203,7198.130881071091
17197,11.574972007699817,100,387.244,yolov5l,0.9046797752380371,2,21.943792,85.2,0.493533869,0.4922142028808594,4100.598538398743,7198.68616271019
17198,11.780242278232347,100,137.633,yolov5l,0.7126966491341591,12,17.550859,85.3,0.364826902,0.3634350299835205,4100.907742023468,7199.07519030571
17199,11.453856835547885,100,182.598,yolov5l,0.806358128786087,2,19.910655,84.2,0.440822873,0.4393198490142822,4101.28972196579,7199.549901723862
17200,10.994056281189886,100,191.849,yolov5l,0.7100224196910858,6,22.359806,87.3,0.487544035,0.4862802028656006,4101.7298974990845,7200.069956302643
17201,11.708699232876404,100,265.571,yolov5l,0.6361330270767211,10,21.381171,90.5,0.452203769,0.4500694274902344,4102.144355535507,7200.576904773712
17202,11.724190055151471,100,239.708,yolov5l,0.6987414153722616,13,18.124831,88.9,0.356222343,0.3548009395599365,4102.444401264191,7200.967949390411
17203,11.490107836912246,100,172.427,yolov5l,0.6139965863788829,17,21.041267,87.6,0.47350745899999996,0.4719994068145752,4102.86431479454,7201.471936702728
17204,11.58737412149942,100,331.063,yolov5l,0.6313356161117554,3,28.987109,86.6,0.64849976,0.6472039222717285,4103.478397369385,7202.186986684799
17205,11.086387091795016,100,269.546,yolov5l,0.7404838800430298,11,17.949355,82.8,0.36878027,0.3670005798339844,4103.815459012985,7202.602840185165
17206,12.24086373831846,100,288.912,yolov5l,0.9012084603309631,1,21.697027,85.3,0.487260724,0.48540663719177246,4104.271558523178,7203.149532794952
17207,12.321679644256704,100,280.281,yolov5l,0.8248086869716644,2,24.649168,93.5,0.521391862,0.5200216770172119,4104.750149965286,7203.71225643158
17208,11.887371562786994,100,251.225,yolov5l,0.7120819154538607,19,17.99208,85.7,0.358997813,0.3569643497467041,4105.076834440231,7204.127684593201
17209,11.319575897736534,100,292.18,yolov5l,0.6012361148993174,3,16.427021,83.1,0.30985509499999997,0.3080127239227295,4105.360386610031,7204.493916273117
17210,11.662971941477577,100,288.952,yolov5l,0.5081929036162116,22,17.23781,83.1,0.341215691,0.3397648334503174,4105.670293807983,7204.881968736649
17211,11.755945957496836,100,263.374,yolov5l,0.5025343494489789,32,17.5616,82.8,0.36148308,0.35965466499328613,4105.976814985275,7205.28583407402
17212,10.91144311052561,100,214.222,yolov5l,0.7700876196225485,3,18.121474,81.2,0.37828667099999996,0.37668824195861816,4106.312366724014,7205.701179742813
17213,11.094534358002408,100,302.121,yolov5l,0.6420211230333035,26,22.333134,92.3,0.45285427899999997,0.45107460021972656,4106.730742692947,7206.222208976746
17214,11.417133836409345,100,285.048,yolov5l,0.7912736336390177,3,19.980234,88.6,0.414639798,0.4132082462310791,4107.106415271759,7206.680369138718
17215,11.56203011820553,100,412.269,yolov5l,0.637836754322052,23,19.904307,85.7,0.457250522,0.4556429386138916,4107.553345441818,7207.216643810272
17216,11.611823164840105,100,236.268,yolov5l,0.9037942886352539,1,20.186289,87.6,0.43903974,0.4373176097869873,4107.95610833168,7207.705664634705
17217,11.283010326542488,100,185.25,yolov5l,0.947447657585144,1,18.686293,83.1,0.427180783,0.4258153438568115,4108.3355448246,7208.163599014282
17218,11.355495840514402,100,289.543,yolov5l,0.9027009308338165,2,19.784617,81.6,0.45812879100000004,0.45684099197387695,4108.7293837070465,7208.6595578193665
17219,10.83471664400587,100,130.752,yolov5l,0.7368573546409607,2,20.256784,90.2,0.44829870299999997,0.4470977783203125,4109.12019777298,7209.128130912781
