total_processed,input_rate,image_quality,file_size(kB),current_model,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
12425,18.940144530646414,100,171.033,yolov5m,0.7237816825509071,4,8.665077,72.4,0.235836227,0.23414897918701172,818.7179276943207,3673.5656559467316
12426,18.006728854314574,100,136.048,yolov5m,0.8622774332761765,4,8.104838,63.9,0.235999148,0.2343006134033203,818.9381279945374,3673.824759721756
12427,17.583424108308932,100,222.514,yolov5m,0.46449433944442053,11,8.930214,70.7,0.254612844,0.25301074981689453,819.1624207496643,3674.11203455925
12428,16.545104524369584,100,207.01,yolov5m,0.5738970339298248,2,6.849531,65.1,0.15337385999999997,0.15138864517211914,819.3046264648438,3674.302156686783
12429,16.972878807279596,100,352.611,yolov5m,0.6747882306575775,5,8.109171,62.6,0.207930892,0.2065889835357666,819.4866480827332,3674.5636882781982
12430,17.318738127711953,100,149.975,yolov5m,0.6158631145954132,5,8.120097,66.0,0.221389415,0.2202134132385254,819.6712880134583,3674.8179018497467
12431,18.107796752230076,100,150.321,yolov5m,0.5286395251750946,6,8.669107,85.8,0.196787909,0.1955556869506836,819.8478634357452,3675.0364212989807
12432,17.31587602269232,100,284.736,yolov5m,0.7868605375289917,5,9.867834,75.0,0.256362262,0.2549431324005127,820.1041629314423,3675.3456404209137
12433,17.064395246739373,100,277.185,yolov5m,0.8454875946044922,2,9.536963,73.1,0.249998376,0.2479081153869629,820.3439071178436,3675.642497062683
12434,17.561144019505495,100,289.127,yolov5m,0.5731981559233232,22,11.815277,75.0,0.28036143199999997,0.2790038585662842,820.6182825565338,3675.975635766983
12435,17.224341365788224,100,364.79,yolov5m,0.5597478039562702,8,9.163734,71.2,0.206859658,0.20568323135375977,820.8290872573853,3676.2406537532806
12436,18.53641170366389,100,229.584,yolov5m,0.6596002697944641,5,11.339387,70.4,0.297903346,0.2959258556365967,821.115775346756,3676.5846197605133
12437,17.64738136775421,100,210.888,yolov5m,0.7167932130396366,8,7.798137,59.7,0.236556587,0.2349076271057129,821.3238747119904,3676.8560144901276
12438,17.455504559951777,100,114.655,yolov5m,0.709362268447876,2,7.43864,64.1,0.208743647,0.206251859664917,821.5111510753632,3677.0860908031464
12439,17.91878105075292,100,197.142,yolov5m,0,0,5.465196,63.4,0.127683731,0.12625980377197266,821.6091423034668,3677.2481474876404
12440,18.22458077257632,100,165.362,yolov5m,0.8887805342674255,1,8.216776,61.8,0.235116063,0.23342180252075195,821.8208148479462,3677.5129611492157
12441,17.831015273776348,100,303.591,yolov5m,0.9297940731048584,1,8.211161,75.8,0.180272755,0.17907094955444336,821.9816515445709,3677.7397956848145
12442,17.76587827605413,100,419.978,yolov5m,0.4805957428340254,29,8.640847,70.3,0.19237793,0.19095277786254883,822.1871147155762,3678.003727197647
12443,17.392475687866888,100,338.114,yolov5m,0.8944620788097382,2,9.840795,71.0,0.250466499,0.24875140190124512,822.4409563541412,3678.312215566635
12444,18.720863377508728,100,182.787,yolov5m,0,0,8.996376,73.1,0.23599446599999999,0.2347705364227295,822.6623728275299,3678.583760023117
12445,17.65130610349237,100,217.315,yolov5m,0.4880772352218628,5,9.467566,72.8,0.247667737,0.24627375602722168,822.8905866146088,3678.8699469566345
12446,18.8062400137502,100,254.885,yolov5m,0.6591136076233604,11,9.511267,71.7,0.249151864,0.2472848892211914,823.1249239444733,3679.1634418964386
12447,18.225633848526144,100,146.613,yolov5m,0.36519497632980347,4,7.944132,61.4,0.23536975899999998,0.23361849784851074,823.3347589969635,3679.4248847961426
12448,16.80373996405083,100,329.17,yolov5m,0.6922872608358209,11,10.032201,58.1,0.289761685,0.28824615478515625,823.604083776474,3679.7625765800476
12449,17.06461050261432,100,130.912,yolov5m,0.6092370897531509,4,7.538066,62.9,0.22045594500000001,0.2186110019683838,823.7940928936005,3680.008571624756
12450,17.168251445792418,100,233.35,yolov5m,0.428014874458313,2,7.906291,61.1,0.236497437,0.2346494197845459,824.0133326053619,3680.282842874527
12451,18.213252774781225,100,227.927,yolov5m,0.9090424180030823,1,7.885355,68.3,0.176751393,0.17550325393676758,824.1711208820343,3680.499032974243
12452,17.809324291097106,100,351.275,yolov5m,0.5670578281084696,12,8.72062,66.9,0.23251343100000002,0.2302699089050293,824.4218437671661,3680.8085985183716
12453,17.536487965794098,100,260.588,yolov5m,0.8401100933551788,2,10.053502,79.3,0.248017934,0.2459416389465332,824.6809043884277,3681.1200952529907
12454,18.059350840875574,100,120.836,yolov5m,0.834209280354636,7,7.737834,75.7,0.178818767,0.1763627529144287,824.8434090614319,3681.331880092621
12455,18.88152488063938,100,120.963,yolov5m,0.7102468957503637,6,8.143839,77.1,0.183825454,0.18193745613098145,825.001503944397,3681.543316602707
12456,18.74500899953489,100,122.691,yolov5m,0,0,8.861061,74.4,0.226042114,0.22406244277954102,825.1987779140472,3681.7997148036957
12457,17.897175737707798,100,304.425,yolov5m,0.5489056532581648,12,8.784035,68.0,0.235603681,0.23389101028442383,825.440591096878,3682.1041197776794
12458,17.805182908624907,100,270.568,yolov5m,0.6066876335276498,18,7.487346,62.1,0.21685495600000002,0.21537375450134277,825.655294418335,3682.3727810382843
12459,18.071272368720994,100,190.498,yolov5m,0.5391255378723144,5,8.099894,60.3,0.21522968,0.21401715278625488,825.8556349277496,3682.6251034736633
12460,17.95930102748396,100,318.909,yolov5m,0.4382231254130602,16,7.477642,58.9,0.220372147,0.21910429000854492,826.0534183979034,3682.891884326935
12461,18.459176004148027,100,389.282,yolov5m,0.8648109038670858,3,7.744304,55.5,0.213765657,0.2125849723815918,826.2614920139313,3683.1617152690887
12462,17.897534409389362,100,231.997,yolov5m,0.5904722849527995,15,8.023661,68.0,0.20455131299999998,0.20319366455078125,826.4372982978821,3683.4059805870056
12463,17.262269047193833,100,292.86,yolov5m,0.6423568586508434,15,9.783911,71.0,0.249830164,0.24804973602294922,826.6987059116364,3683.723640203476
12464,17.91208867216976,100,216.519,yolov5m,0.9031144579251608,3,9.32041,73.7,0.236742389,0.2354583740234375,826.9153578281403,3683.9998004436493
12465,18.505171425594476,100,218.831,yolov5m,0.46890683336691424,11,9.196571,74.2,0.232768037,0.23151373863220215,827.1456832885742,3684.2693367004395
12466,18.273475659153895,100,247.097,yolov5m,0.6956636282530698,11,8.293436,76.3,0.184555818,0.18336844444274902,827.3248496055603,3684.5007197856903
12467,16.282782435993116,100,254.532,yolov5m,0.3597840666770935,2,8.434244,73.6,0.20111689900000002,0.199873685836792,827.5121681690216,3684.7465875148773
12468,18.063175216832008,100,222.577,yolov5m,0.5842111945152283,15,7.451214,65.9,0.17429108199999999,0.17273354530334473,827.6705474853516,3684.9586987495422
12469,18.202887855660745,100,248.971,yolov5m,0.46780579537153244,8,9.880895,58.5,0.287973049,0.28633666038513184,827.9359877109528,3685.286373615265
12470,17.53140286650993,100,268.075,yolov5m,0.6284479834139347,16,7.329754,58.0,0.194746278,0.1927022933959961,828.1370365619659,3685.5357871055603
12471,16.775345204716515,100,157.348,yolov5m,0.5643436759710312,2,6.730757,65.3,0.157443131,0.15532803535461426,828.2683892250061,3685.7197382450104
12472,17.290845239732704,100,263.154,yolov5m,0.5234791322758323,38,7.432049,61.8,0.17162060099999998,0.17034220695495605,828.4197943210602,3685.9321205615997
