,total_processed,input_rate,image_quality,file_size(kB),current_model,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_model_small,avg_conf_small,current_boxes_small,energy_consumption(J)_small,current_cpu_small,measure_duration(s)_small,current_model_medium,avg_conf_medium,current_boxes_medium,energy_consumption(J)_medium,current_cpu_medium,measure_duration(s)_medium,current_model_large,avg_conf_large,current_boxes_large,energy_consumption(J)_large,current_cpu_large,measure_duration(s)_large
288,21166,14.719857143359954,100,268.509,yolov5n,0.5050055051551146,17,1.3681,58.2,0.041056181,yolov5s,0.5244704894721508,16,4.780872,77.9,0.12993605,yolov5m,0.541431564423773,18,10.056127,76.9,0.241447268,yolov5l,0.4654005074501037,25,21.532659,88.3,0.487616656
289,4737,4.6657249151880285,100,390.248,yolov5n,0.6145460435322353,14,1.368466,46.5,0.052675103,yolov5s,0.6863090634346009,15,3.359122,26.2,0.097368443,yolov5m,0.7404935042063395,15,7.090008,59.8,0.1611885579999999,yolov5l,0.5694486002127329,3,11.6232,51.7,0.253711647
290,3603,2.4316607024849817,100,319.898,yolov5n,0.8168965578079224,2,1.370663,29.9,0.052543859,yolov5s,0.8964690268039703,2,2.954338,57.8,0.097269426,yolov5m,0.8755074739456177,3,5.985092,48.9,0.188475955,yolov5l,0.7519733210404714,3,11.92984,50.2,0.313195941
291,10969,13.981841474487998,100,187.684,yolov5n,0.6594157559531075,7,1.370907,58.6,0.045533797,yolov5s,0.6923336498439312,8,2.829583,67.5,0.078309375,yolov5m,0.690786192814509,9,6.106673,60.2,0.17529086,yolov5l,0.6454065293073654,10,19.487072,92.3,0.4182205779999999
292,246,3.430378347817141,100,263.853,yolov5n,0.7821453213691711,2,1.37225,49.4,0.061310739,yolov5s,0.859411895275116,2,4.118276,52.6,0.134178205,yolov5m,0.8400477965672811,3,8.630837,56.1,0.214563389,yolov5l,0.6625812873244286,4,16.550128,55.8,0.401815958
293,9211,8.48056519622336,100,152.752,yolov5n,0.8919451832771301,1,1.375057,58.5,0.043506955,yolov5s,0.9488006234169006,1,3.218009,69.9,0.06870704,yolov5m,0.943099319934845,1,10.195042,76.9,0.255674058,yolov5l,0.727947473526001,2,12.749357,61.0,0.2655346859999999
294,24858,7.968277577370116,100,248.915,yolov5n,0.911684274673462,2,1.375362,55.7,0.043134227,yolov5s,0.9377378225326538,2,4.558399,85.8,0.112769829,yolov5m,0.9501188099384308,2,9.955724,82.9,0.227527487,yolov5l,0.8710384766260783,3,20.675118,86.3,0.4633836819999999
295,10439,9.643366757144298,100,330.231,yolov5n,0.4897932112216949,1,1.37579,56.4,0.042758317,yolov5s,0.6626849174499512,1,4.667896,79.5,0.106525444,yolov5m,0.5304774343967438,2,11.034152,75.0,0.277885266,yolov5l,0.469544306397438,4,22.466252,81.3,0.499122487
296,4071,2.525029815241131,100,87.136,yolov5n,0.9204666614532472,1,1.375974,34.8,0.062100045,yolov5s,0.9378037452697754,1,5.438707,84.0,0.1377128299999999,yolov5m,0.9481428265571594,1,10.381321,68.0,0.3156712359999999,yolov5l,0.6774340271949768,1,15.457602,63.9,0.441707857
297,8614,7.409311521042946,100,439.745,yolov5n,0.4652612706025441,9,1.377254,44.3,0.042546118,yolov5s,0.5071010775864124,8,4.155873,67.2,0.101992966,yolov5m,0.5074810646474361,8,7.433331,64.2,0.164690003,yolov5l,0.4591157598928971,11,17.142778,69.0,0.452739738
298,18462,10.1415053255558,100,200.602,yolov5n,0.6959788799285889,1,1.379147,64.1,0.0456840789999999,yolov5s,0.8963914513587952,1,5.254503,92.4,0.137027871,yolov5m,0.9007648825645448,1,9.465186,79.9,0.2497101149999999,yolov5l,0.5543822050094604,3,21.834661,88.8,0.500236892
299,14996,19.630046514011458,100,299.749,yolov5n,0.578162670135498,1,1.379452,53.2,0.042755701,yolov5s,0.8576991558074951,1,4.976428,77.8,0.115424825,yolov5m,0.7042905390262604,2,10.758029,79.3,0.2407061559999999,yolov5l,0.5734471082687378,2,22.485111,87.3,0.5025523510000001
300,15793,21.58198929286162,100,360.296,yolov5n,0.5688090664999825,7,1.383908,52.4,0.051727914,yolov5s,0.5927157551050186,6,5.05205,80.1,0.124675191,yolov5m,0.6391236836260016,11,10.153294,80.7,0.2242960739999999,yolov5l,0.505355954170227,3,21.481756,91.7,0.467033967
301,24628,8.143682873948975,100,194.61,yolov5n,0.8081414103507996,1,1.384029,49.3,0.046337709,yolov5s,0.8323231339454651,1,5.699876,84.7,0.148167896,yolov5m,0.8707982897758484,1,9.131874,85.5,0.189171575,yolov5l,0.5427509248256683,3,21.389167,82.7,0.498247314
302,21604,15.181376973810684,100,228.846,yolov5n,0.4308373928070068,2,1.384213,54.0,0.043958747,yolov5s,0.5787883996963501,1,5.134508,89.7,0.130744856,yolov5m,0.5319074243307114,2,10.57645,88.3,0.2420071369999999,yolov5l,0.4012550860643387,2,20.378915,89.4,0.447859375
303,4143,2.4076104628275803,100,490.43,yolov5n,0.7736796736717224,2,1.384518,41.7,0.0490212379999999,yolov5s,0.896280825138092,2,4.715198,32.3,0.135455831,yolov5m,0.9113010764122008,2,7.289776,14.1,0.187012413,yolov5l,0.6948217079043388,4,12.380156,68.3,0.273597433
304,8084,8.250149034017992,100,106.069,yolov5n,0.4911935180425644,2,1.385617,68.0,0.044239574,yolov5s,0.713137686252594,1,3.978689,76.9,0.09938921,yolov5m,0.5317988395690918,3,8.612466,83.0,0.190138619,yolov5l,0.4780803695321083,4,15.561911,77.0,0.307072028
305,10694,11.865051861128633,100,326.523,yolov5n,0.7440213561058044,1,1.386654,46.7,0.051142725,yolov5s,0.7779140472412109,1,3.440299,68.1,0.092424516,yolov5m,0.7783791422843933,1,8.937782,69.1,0.2421138079999999,yolov5l,0.5173175632953644,2,18.698622,90.0,0.372755705
306,4907,5.308449235271853,100,206.971,yolov5n,0.85905921459198,2,1.388302,14.8,0.0482952949999999,yolov5s,0.9027037024497986,2,2.68322,63.2,0.064119934,yolov5m,0.9414027333259584,2,5.600877,52.9,0.1277566239999999,yolov5l,0.8074506322542826,3,18.409987,64.0,0.4024202739999999
307,7045,7.346156102946304,100,230.8,yolov5n,0.7325816750526428,1,1.389279,55.4,0.046325526,yolov5s,0.8450677394866943,1,4.453662,80.7,0.105874285,yolov5m,0.8627700209617615,1,7.232892,68.0,0.164767389,yolov5l,0.5906470566987991,2,12.622282,57.0,0.261649835
308,4670,4.5929135466168045,100,202.287,yolov5n,0.6243987083435059,2,1.390927,55.6,0.049981416,yolov5s,0.755453497171402,3,3.881337,78.4,0.1018989229999999,yolov5m,0.8733320236206055,3,5.894699,52.4,0.137318957,yolov5l,0.5466134585440159,8,12.033234,53.8,0.263026648
